"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC23.F_CV","05/03/2021","84.034"
"C-4450.8601A","ECI1.A-TC23.F_CV","06/03/2021","80.94732"
"C-4450.8601A","ECI1.A-TC23.F_CV","07/03/2021","81.16771"
"C-4450.8601A","ECI1.A-TC23.F_CV","08/03/2021","81.22736"
"C-4450.8601A","ECI1.A-TC23.F_CV","09/03/2021","81.1492"
"C-4450.8601A","ECI1.A-TC23.F_CV","10/03/2021","79.71529"
"C-4450.8601A","ECI1.A-TC23.F_CV","11/03/2021","81.34634"
"C-4450.8601A","ECI1.A-TC23.F_CV","12/03/2021","80.74118"
"C-4450.8601A","ECI1.A-TC23.F_CV","13/03/2021","81.32393"
"C-4450.8601A","ECI1.A-TC23.F_CV","14/03/2021","81.89685"
"C-4450.8601A","ECI1.A-TC23.F_CV","15/03/2021","81.50462"
"C-4450.8601A","ECI1.A-TC23.F_CV","16/03/2021","81.49885"
"C-4450.8601A","ECI1.A-TC23.F_CV","17/03/2021","82.91874"
"C-4450.8601A","ECI1.A-TC23.F_CV","20/03/2021","81.03594"
"C-4450.8601A","ECI1.A-TC23.F_CV","21/03/2021","80.4655"
"C-4450.8601A","ECI1.A-TC23.F_CV","22/03/2021","80.92927"
"C-4450.8601A","ECI1.A-TC23.F_CV","23/03/2021","80.6734"
"C-4450.8601A","ECI1.A-TC23.F_CV","24/03/2021","81.11412"
"C-4450.8601A","ECI1.A-TC23.F_CV","25/03/2021","81.48503"
"C-4450.8601A","ECI1.A-TC23.F_CV","27/03/2021","81.03442"
"C-4450.8601A","ECI1.A-TC23.F_CV","28/03/2021","80.97068"
"C-4450.8601A","ECI1.A-TC23.F_CV","29/03/2021","81.29788"
"C-4450.8601A","ECI1.A-TC23.F_CV","30/03/2021","81.91882"
"C-4450.8601A","ECI1.A-TC23.F_CV","31/03/2021","80.43009"
"C-4450.8601A","ECI1.A-TC23.F_CV","01/04/2021","80.82659"
"C-4450.8601A","ECI1.A-TC23.F_CV","02/04/2021","81.67308"
"C-4450.8601A","ECI1.A-TC23.F_CV","03/04/2021","83.67495"
"C-4450.8601A","ECI1.A-TC23.F_CV","04/04/2021","81.76819"
